ProfileID,First Name,Last Name,Name,City,State,Company,Industry,Years of Experience,Skills
1,N,1,N1,Austin,TX,C1,Software Development,20,Python
1,N,1,N1,Austin,TX,C1,Software Development,20,Java
2,N,2,N2,Dallas,TX,C2,Semiconductor,17,Python
2,N,2,N2,Dallas,TX,C2,Semiconductor,17,Data Engineering
2,N,2,N2,Dallas,TX,C2,Semiconductor,17,Cloud Computing
3,N,3,N3,Houston,TX,C3,Manufacturing,12,Process Optimization
4,N,4,N4,Austin,TX,C4,Civil Engineering,10,Traffic Design
5,N,5,N5,Austin,TX,C5,Telicommunications,22,Network Design
6,N,6,N6,Austin,TX,C6,Software Development,7,Cloud Computing
7,N,7,N7,Austin,TX,C7,Semiconductor,3,Data Analysis
8,N,8,N8,Austin,TX,C8,Software Development,5,Java
8,N,8,N8,Austin,TX,C8,Software Development,5,Cloud Computing
9,N,9,N9,Austin,TX,C9,Software Development,1,Product Management
